feature	X3000190	X3007127	X3003578	X3000516	X3002970	X3002966	X3000375	X3002922	X3002705	X3000005	X3003070	X3000300	X3003922	X3003923	X3002804	X3000196	X3000823	X3002647	X3002930	X3005059	X3003209	X3007180	X3002459	X3003551	X3000518	X3004580	X3004583	X3001855	X3004122	X3000191	X3000567	X3005053	X3003949	X3004588	X3002875	X3003948
S00IK-0006	5.52833594961064	-1.06908990514234	-0.743536337960194	1.39107961448771	-1.55567836423531	0.124564639918951	-1.37864878373886	0.630533918377559	0.369906587006155	3.20640785472328	4.75742302352109	-1.16965177401421	-0.102139777856281	3.11532087622082	-0.0853584294552803	4.81736556397738	-0.436580448038444	-0.721687031676202	1.36990658700615	2.21915737388266	0.614299779093292	-0.729214619230005	-0.321569883486992	0.372151033530854	3.29261331864332	-0.687878849708071	1.05592054698735	-0.863866710233053	2.79916435312478	3.89828555936094	-0.142741708899111	2.13786173515031	-0.529041953733806	-0.930121075844865	-1.6465414582195	-0.222434011573993
S00IK-0019	5.03671831922346	-1.06908990514234	1.61525455078518	1.39107961448771	-1.55567836423531	0.124564639918951	4.10710764711485	0.630533918377559	1.61525455078518	2.2591107405599	3.67414823983875	-1.16965177401421	-0.102139777856281	3.11532087622082	-0.0853584294552803	5.11001924253476	-0.436580448038444	0.674148239838747	1.61525455078518	2.21915737388266	0.614299779093292	-0.729214619230005	-0.321569883486992	0.372151033530854	3.29261331864332	-0.687878849708071	1.05592054698735	-0.863866710233053	2.79916435312478	5.14363352313997	0.796040544859257	2.13786173515031	-0.529041953733806	-0.930121075844865	-1.6465414582195	-0.222434011573993
S00IK-0012	4.34172757544011	0.505226307722985	-0.743536337960194	1.39107961448771	-1.55567836423531	0.124564639918951	-1.37864878373886	0.630533918377559	0.505226307722985	0.432317391871122	1.10469144035997	-1.16965177401421	-0.102139777856281	3.11532087622082	-0.0853584294552803	2.60038354076332	-0.436580448038444	-0.721687031676202	0.325962998917389	2.21915737388266	0.614299779093292	0.505226307722985	-0.321569883486992	0.372151033530854	3.29261331864332	-0.687878849708071	1.05592054698735	-0.863866710233053	2.79916435312478	7.35553337496513	-2.36778779110709	2.13786173515031	-0.529041953733806	-0.930121075844865	-1.6465414582195	-0.222434011573993
S00IK-0029	4.22663021391749	-1.06908990514234	-0.743536337960194	1.39107961448771	-1.55567836423531	0.124564639918951	0.975091446921524	0.630533918377559	-1.22243401157399	0.432317391871122	1.10469144035997	-1.16965177401421	-0.102139777856281	3.11532087622082	-0.0853584294552803	3.03922178434124	-0.436580448038444	-0.721687031676202	2.39012894620037	2.21915737388266	0.614299779093292	-0.729214619230005	-0.321569883486992	0.372151033530854	3.29261331864332	-0.687878849708071	1.05592054698735	-0.863866710233053	2.79916435312478	5.91850791855515	-2.36778779110709	2.13786173515031	-0.529041953733806	-0.930121075844865	-1.6465414582195	-0.222434011573993
S00IK-0034	2.81593364026294	-1.06908990514234	-0.743536337960194	3.93622787398065	-1.55567836423531	0.124564639918951	2.4008961409841	0.630533918377559	-1.22243401157399	0.432317391871122	1.10469144035997	2.09769220165358	1.61429977909329	4.4008961409841	2.13786173515031	3.07896804609674	2.4008961409841	-0.721687031676202	0.325962998917389	4.60734701845152	1.61429977909329	1.49400554537558	0.678430116513008	1.55289923442915	6.34431261261773	2.81593364026294	1.05592054698735	2.85155754999366	4.02238451773037	2.30594496078079	-2.36778779110709	3.13786173515031	-0.529041953733806	2.11849641028337	-1.6465414582195	-0.222434011573993
S00IK-0026	0.767849062607444	-1.06908990514234	-0.743536337960194	1.39107961448771	-1.55567836423531	0.124564639918951	-1.37864878373886	0.630533918377559	-1.22243401157399	0.432317391871122	1.10469144035997	-1.16965177401421	-0.102139777856281	3.11532087622082	-0.0853584294552803	2.19422798566659	-0.436580448038444	-0.721687031676202	0.325962998917389	2.21915737388266	0.614299779093292	-0.729214619230005	-0.321569883486992	0.372151033530854	3.29261331864332	-0.687878849708071	1.05592054698735	-0.863866710233053	2.79916435312478	6.65847662060166	-2.36778779110709	2.13786173515031	-0.529041953733806	-0.930121075844865	-1.6465414582195	-0.222434011573993
S00IK-0028	4.88634848929713	-1.06908990514234	-0.743536337960194	1.39107961448771	-1.55567836423531	0.124564639918951	-1.37864878373886	0.630533918377559	0.634809722301161	0.432317391871122	1.10469144035997	-1.16965177401421	-0.102139777856281	3.11532087622082	-0.0853584294552803	2.28390256044203	-0.436580448038444	-0.721687031676202	0.325962998917389	2.21915737388266	0.614299779093292	-0.729214619230005	-0.321569883486992	0.372151033530854	3.29261331864332	-0.687878849708071	1.05592054698735	-0.863866710233053	2.79916435312478	6.16318869465595	-0.769366784345916	2.13786173515031	-0.529041953733806	-0.930121075844865	-1.6465414582195	-0.222434011573993
S00IK-0013	4.50800242903577	-1.06908990514234	0.256463662039806	1.39107961448771	-1.55567836423531	0.124564639918951	-1.37864878373886	0.630533918377559	-1.22243401157399	0.432317391871122	1.10469144035997	-1.16965177401421	-0.102139777856281	3.11532087622082	-0.0853584294552803	4.32841350391882	-0.436580448038444	-0.721687031676202	0.325962998917389	2.21915737388266	0.614299779093292	-0.729214619230005	-0.321569883486992	0.372151033530854	3.29261331864332	-0.687878849708071	1.05592054698735	-0.863866710233053	2.79916435312478	2.30594496078079	-2.36778779110709	2.13786173515031	-0.529041953733806	-0.930121075844865	-1.6465414582195	-0.222434011573993
S00IK-0021	2.9064639455759	-1.06908990514234	-0.743536337960194	1.39107961448771	-1.55567836423531	0.124564639918951	-1.37864878373886	0.630533918377559	-1.22243401157399	0.432317391871122	1.10469144035997	-1.16965177401421	-0.102139777856281	3.11532087622082	-0.0853584294552803	1.58453585068853	-0.436580448038444	-0.721687031676202	0.325962998917389	2.21915737388266	0.614299779093292	-0.729214619230005	-0.321569883486992	0.372151033530854	3.29261331864332	-0.687878849708071	1.05592054698735	-0.863866710233053	2.79916435312478	6.92026974510093	-2.36778779110709	2.13786173515031	-0.529041953733806	-0.930121075844865	-1.6465414582195	3.16949835140969
S00IK-0007	0.767849062607444	-1.06908990514234	-0.743536337960194	1.39107961448771	-1.55567836423531	0.124564639918951	-0.375938669658853	0.630533918377559	-1.22243401157399	0.432317391871122	1.10469144035997	-1.16965177401421	-0.102139777856281	3.11532087622082	-0.0853584294552803	2.62406133034115	-0.436580448038444	1.09799251867356	0.325962998917389	2.21915737388266	0.614299779093292	-0.729214619230005	-0.321569883486992	0.372151033530854	3.29261331864332	-0.687878849708071	1.05592054698735	-0.863866710233053	2.79916435312478	6.15244030269593	-2.36778779110709	2.13786173515031	-0.529041953733806	-0.930121075844865	-1.6465414582195	-0.222434011573993
S00IK-0005	4.35237386329594	-0.0690899051423396	-0.743536337960194	1.39107961448771	-1.55567836423531	0.124564639918951	-1.37864878373886	0.630533918377559	-1.22243401157399	0.432317391871122	1.10469144035997	-1.16965177401421	-0.102139777856281	3.11532087622082	-0.0853584294552803	4.66869516933042	-0.436580448038444	-0.721687031676202	0.325962998917389	2.21915737388266	0.614299779093292	-0.729214619230005	-0.321569883486992	0.372151033530854	3.29261331864332	-0.687878849708071	1.05592054698735	-0.863866710233053	2.79916435312478	6.45928906721245	-2.36778779110709	2.13786173515031	-0.529041953733806	-0.930121075844865	-1.6465414582195	-0.222434011573993
S00IK-0031	2.63053391837756	-1.06908990514234	-0.743536337960194	4.01386255792906	-1.55567836423531	0.124564639918951	0.893568324211353	1.63053391837756	-1.22243401157399	0.432317391871122	1.10469144035997	-1.16965177401421	3.75082815209527	5.80045891981987	0.952462013264922	4.17110229974026	-0.436580448038444	-0.721687031676202	0.325962998917389	5.64433971790259	3.49303039462762	1.3086058234902	1.43162984996348	0.372151033530854	6.15891289073235	2.3086058234902	2.14510709120732	0.308605823490197	5.42194729656614	3.83698479584498	-0.204042472415069	3.95246201326492	-0.529041953733806	1.93309668839799	-1.6465414582195	-0.222434011573993
S00IK-0040	3.26866117824048	-1.06908990514234	-0.743536337960194	3.55245414424107	-1.55567836423531	0.124564639918951	1.89159152916065	0.630533918377559	-1.22243401157399	0.432317391871122	1.10469144035997	3.69089004038947	4.35980906629867	6.92401300685303	-0.0853584294552803	3.9858182913265	-0.436580448038444	-0.721687031676202	0.325962998917389	6.13046388432046	4.35980906629867	0.432159910523356	3.33381385776573	1.61658448166078	7.13046388432045	3.75408800541072	4.26866117824048	-0.863866710233053	5.96053888287814	2.30594496078079	-2.36778779110709	6.9829066959066	2.26866117824048	4.29840852163453	1.29174479135352	3.43215991052336
S00IK-0027	0.767849062607444	-1.06908990514234	-0.743536337960194	1.39107961448771	-1.55567836423531	0.124564639918951	-1.37864878373886	0.630533918377559	-1.22243401157399	0.432317391871122	1.10469144035997	-1.16965177401421	-0.102139777856281	3.11532087622082	-0.0853584294552803	0.768759431134057	-0.436580448038444	-0.721687031676202	0.325962998917389	2.21915737388266	0.614299779093292	-0.729214619230005	-0.321569883486992	0.372151033530854	3.29261331864332	0.768759431134057	1.05592054698735	-0.863866710233053	2.79916435312478	6.29713840348884	-2.36778779110709	2.13786173515031	-0.529041953733806	-0.930121075844865	-1.6465414582195	-0.222434011573993
S00IK-0030	0.767849062607444	-1.06908990514234	0.382864417347226	1.39107961448771	-1.55567836423531	0.124564639918951	-1.37864878373886	0.630533918377559	-1.22243401157399	0.432317391871122	1.10469144035997	-1.16965177401421	-0.102139777856281	3.11532087622082	-0.0853584294552803	1.47802165038757	-0.436580448038444	-0.721687031676202	0.325962998917389	2.21915737388266	0.614299779093292	-0.729214619230005	-0.321569883486992	0.372151033530854	3.29261331864332	-0.687878849708071	1.05592054698735	-0.863866710233053	2.79916435312478	6.49620589042317	-2.36778779110709	2.13786173515031	-0.529041953733806	-0.930121075844865	-1.6465414582195	-0.222434011573993
S00IK-0022	1.76784906260744	-1.06908990514234	-0.743536337960194	1.39107961448771	-1.55567836423531	0.124564639918951	-1.37864878373886	0.630533918377559	-1.22243401157399	0.432317391871122	1.10469144035997	-1.16965177401421	-0.102139777856281	3.11532087622082	-0.0853584294552803	-0.66962507133254	-0.436580448038444	-0.721687031676202	0.325962998917389	2.21915737388266	0.614299779093292	-0.729214619230005	-0.321569883486992	0.372151033530854	3.29261331864332	-0.687878849708071	1.05592054698735	-0.863866710233053	2.79916435312478	5.62965176868742	-2.36778779110709	2.13786173515031	-0.529041953733806	-0.930121075844865	-1.6465414582195	-0.222434011573993
