feature	antibiotic.inactivation	antibiotic.efflux	antibiotic.target.protection	antibiotic.target.alteration	antibiotic.target.replacement	antibiotic.efflux.reduced.permeability.to.antibiotic	reduced.permeability.to.antibiotic
S00IK-0006	-1.3743379900858	1.1362342408037	6.47991331131992	5.46696682364548	-1.6465414582195	-0.436580448038444	2.79916435312478
S00IK-0019	0.674148239838747	2.26303012377282	6.68244039810666	5.42739070756983	-1.6465414582195	-0.436580448038444	2.79916435312478
S00IK-0012	1.50522630772298	0.505226307722985	7.58143324702196	-1.37593866965885	-1.6465414582195	-0.436580448038444	2.79916435312478
S00IK-0029	-1.3743379900858	-2.36778779110709	6.45000955645377	2.84956056483766	-1.6465414582195	-0.436580448038444	2.79916435312478
S00IK-0034	4.25532025535693	7.4568854348345	4.30539329479913	4.92284884417945	-1.6465414582195	2.4008961409841	4.02238451773037
S00IK-0026	-1.3743379900858	-2.36778779110709	6.72239785663092	-1.37593866965885	-1.6465414582195	-0.436580448038444	2.79916435312478
S00IK-0028	-1.3743379900858	1.09721154795076	6.72942222979832	-1.37593866965885	-1.6465414582195	-0.436580448038444	2.79916435312478
S00IK-0013	-1.3743379900858	-2.36778779110709	5.42100060273256	0.256463662039806	-1.6465414582195	-0.436580448038444	2.79916435312478
S00IK-0021	-1.3743379900858	3.46495423493586	7.04017920883612	-1.37593866965885	-1.6465414582195	-0.436580448038444	2.79916435312478
S00IK-0007	1.09799251867356	-2.36778779110709	6.27234976643113	-0.375938669658853	-1.6465414582195	-0.436580448038444	2.79916435312478
S00IK-0005	-0.0690899051423396	-2.36778779110709	7.07473288162365	-1.37593866965885	-1.6465414582195	-0.436580448038444	2.79916435312478
S00IK-0031	4.29332634960078	7.78713814643635	5.26670219042894	4.35299994284865	-1.6465414582195	-0.436580448038444	5.42194729656614
S00IK-0040	4.99837944282034	8.76766518408138	5.26285548667989	7.02461694779144	3.35507072672235	-0.436580448038444	5.96053888287814
S00IK-0027	-1.3743379900858	1.47385451001324	6.32806297668374	-1.37593866965885	-1.6465414582195	-0.436580448038444	2.79916435312478
S00IK-0030	-1.3743379900858	-2.36778779110709	6.54005232645262	0.382864417347226	-1.6465414582195	-0.436580448038444	2.79916435312478
S00IK-0022	-1.3743379900858	1.70073486674891	5.72562082721814	-1.37593866965885	-1.6465414582195	-0.436580448038444	2.79916435312478
S00IK-0015	0.136133289766947	-2.36778779110709	-0.66962507133254	5.13480830651855	-1.6465414582195	-0.436580448038444	2.79916435312478
S00IK-0008	-1.3743379900858	-2.36778779110709	5.16264500698197	-1.37593866965885	-1.6465414582195	-0.436580448038444	2.79916435312478
S00IK-0023	-1.3743379900858	1.5203927727645	2.07948049527466	-1.37593866965885	-0.20498484712649	-0.436580448038444	2.79916435312478
S00IK-0025	-1.3743379900858	1.90701579992031	4.89973111818174	-1.37593866965885	-1.6465414582195	-0.436580448038444	2.79916435312478
S00IK-0020	-0.374337990085801	0.576752409433253	6.26070400478578	-1.37593866965885	-1.6465414582195	-0.436580448038444	2.79916435312478
S00IK-0033	4.66813038624521	8.02118429731462	2.67309322237716	6.76080711993039	-0.100647419075231	2.53162079642428	4.15310917317055
S00IK-0014	-1.3743379900858	1.28658123676953	5.2754170826389	2.64789109380475	-1.6465414582195	-0.436580448038444	2.79916435312478
S00IK-0016	-1.3743379900858	2.69497204517472	7.15896415872734	-1.37593866965885	-1.6465414582195	-0.436580448038444	2.79916435312478
S00IK-0032	4.72721690747358	7.44349113645844	5.09820604898413	6.14413446768009	0.545407760879001	1.59271347565736	3.79916435312478
S00IK-0036	3.34919684700969	6.39218674338214	8.33880138237939	4.28779630234555	0.0388567263975397	1.0861624411759	2.79916435312478
S00IK-0001	2.98298619558944	-2.36778779110709	6.65512273011287	3.57825767407006	-1.6465414582195	-0.436580448038444	2.79916435312478
S00IK-0035	4.88087644984825	8.33789735666392	6.01800773786492	4.10169823642111	-1.6465414582195	2.04308607630607	5.24953695377349
S00IK-0009	-1.3743379900858	1.89840766004604	5.77264494493554	4.92398478311526	-1.6465414582195	-0.436580448038444	2.79916435312478
S00IK-0018	3.01814823497239	6.92700897140436	0.33037492866746	6.79217529779643	-0.646541458219499	3.47876676856013	2.79916435312478
S00IK-0002	1.85083306238391	-1.36778779110709	5.67873079458533	1.79408575129028	-1.6465414582195	-0.436580448038444	2.79916435312478
S00IK-0010	-1.3743379900858	2.03486750828132	5.67963940423778	-1.37593866965885	-1.6465414582195	-0.436580448038444	2.79916435312478
S00IK-0003	-1.3743379900858	1.7817104699145	5.35944140140458	-1.37593866965885	-1.6465414582195	-0.436580448038444	2.79916435312478
S00IK-0037	5.34653182799726	8.33920018735625	6.90950940314992	5.71485253650673	1.55036328235804	4.12818371383517	5.80411987460382
S00IK-0024	-1.3743379900858	2.92187887066814	3.83693973688837	-1.37593866965885	2.04731134322359	-0.436580448038444	2.79916435312478
S00IK-0017	-1.3743379900858	-2.36778779110709	3.07668058732852	4.5452722052513	-1.6465414582195	0.563419551961556	2.79916435312478
S00IK-0004	0.361031193619758	4.20902810017471	6.07337300081714	4.28626294474035	-1.6465414582195	-0.436580448038444	2.79916435312478
S00IK-0038	3.8164651908048	6.21424808280734	5.78099911089805	3.43719930853836	3.84050012264672	-0.436580448038444	3.84050012264672
S00IK-0039	4.38478311649317	8.3138239050861	7.58680788724525	4.92487479657449	1.07900416010039	-0.436580448038444	5.74779825162502
S00IK-0011	-1.3743379900858	4.11532087622082	5.52942125624562	-1.37593866965885	-1.6465414582195	-0.436580448038444	2.79916435312478
