feature	aminoglycoside.antibiotic	tetracycline.antibiotic	phenicol.antibiotic	lincosamide.antibiotic.macrolide.antibiotic.streptogramin.A.antibiotic.streptogramin.B.antibiotic.streptogramin.antibiotic	glycopeptide.antibiotic	peptide.antibiotic	fluoroquinolone.antibiotic	disinfecting.agents.and.antiseptics	fluoroquinolone.antibiotic.macrolide.antibiotic.penam	phosphonic.acid.antibiotic	N.A	lincosamide.antibiotic.pleuromutilin.antibiotic.streptogramin.A.antibiotic.streptogramin.B.antibiotic.streptogramin.antibiotic	diaminopyrimidine.antibiotic.fluoroquinolone.antibiotic.glycylcycline.nitrofuran.antibiotic.tetracycline.antibiotic	carbapenem.cephalosporin.cephamycin.monobactam.penam.penem	cephalosporin.penam.penem	carbapenem.cephalosporin.cephamycin.disinfecting.agents.and.antiseptics.fluoroquinolone.antibiotic.glycylcycline.monobactam.penam.penem.phenicol.antibiotic.rifamycin.antibiotic.tetracycline.antibiotic	aminocoumarin.antibiotic.carbapenem.peptide.antibiotic.rifamycin.antibiotic	carbapenem.cephalosporin.cephamycin.penam	penam.penem	aminoglycoside.antibiotic.cephalosporin.disinfecting.agents.and.antiseptics.macrolide.antibiotic.peptide.antibiotic.rifamycin.antibiotic.tetracycline.antibiotic	fluoroquinolone.antibiotic.macrolide.antibiotic.rifamycin.antibiotic	aminoglycoside.antibiotic.carbapenem.cephalosporin.fluoroquinolone.antibiotic.macrolide.antibiotic.penam.penem.peptide.antibiotic
S00IK-0006	-0.721687031676202	6.49448005134241	0.369906587006155	-1.37864878373886	5.46696682364548	-0.743536337960194	1.39107961448771	0.0319948276597553	3.29261331864332	1.43241538400964	-1.6465414582195	-1.16965177401421	-0.102139777856281	2.79916435312478	-0.729214619230005	-0.436580448038444	2.21915737388266	-0.863866710233053	-0.321569883486992	-0.687878849708071	-0.422498234086647	-0.930121075844865
S00IK-0019	0.674148239838747	6.70662541105251	1.61525455078518	4.10710764711485	4.50696037362662	1.61525455078518	1.39107961448771	0.0319948276597553	3.29261331864332	1.43241538400964	-1.6465414582195	-1.16965177401421	-0.102139777856281	2.79916435312478	-0.729214619230005	-0.436580448038444	2.21915737388266	-0.863866710233053	-0.321569883486992	-0.687878849708071	-0.422498234086647	-0.930121075844865
S00IK-0012	-0.721687031676202	7.58143324702196	0.505226307722985	-1.37864878373886	-1.54044671700606	-0.743536337960194	1.39107961448771	0.0319948276597553	3.29261331864332	1.43241538400964	-1.6465414582195	-1.16965177401421	-0.102139777856281	2.79916435312478	0.505226307722985	-0.436580448038444	2.21915737388266	-0.863866710233053	-0.321569883486992	-0.687878849708071	-0.422498234086647	-0.930121075844865
S00IK-0029	-0.721687031676202	6.45000955645377	-1.22243401157399	0.975091446921524	2.39012894620037	-0.743536337960194	1.39107961448771	0.0319948276597553	3.29261331864332	1.43241538400964	-1.6465414582195	-1.16965177401421	-0.102139777856281	2.79916435312478	-0.729214619230005	-0.436580448038444	2.21915737388266	-0.863866710233053	-0.321569883486992	-0.687878849708071	-0.422498234086647	-0.930121075844865
S00IK-0034	-0.721687031676202	3.95343716401288	-1.22243401157399	2.4008961409841	-1.54044671700606	4.64687538263816	3.93622787398065	1.55289923442915	6.34431261261773	2.89970199795554	-1.6465414582195	2.09769220165358	4.59615243238303	4.02238451773037	1.49400554537558	2.4008961409841	4.60734701845152	2.85155754999366	0.678430116513008	2.81593364026294	-0.422498234086647	2.11849641028337
S00IK-0026	-0.721687031676202	6.72239785663092	-1.22243401157399	-1.37864878373886	-1.54044671700606	-0.743536337960194	1.39107961448771	0.0319948276597553	3.29261331864332	1.43241538400964	-1.6465414582195	-1.16965177401421	-0.102139777856281	2.79916435312478	-0.729214619230005	-0.436580448038444	2.21915737388266	-0.863866710233053	-0.321569883486992	-0.687878849708071	-0.422498234086647	-0.930121075844865
S00IK-0028	-0.721687031676202	6.73737679202382	0.634809722301161	-1.37864878373886	-1.54044671700606	-0.743536337960194	1.39107961448771	0.0319948276597553	3.29261331864332	1.43241538400964	-1.6465414582195	-1.16965177401421	-0.102139777856281	2.79916435312478	-0.729214619230005	-0.436580448038444	2.21915737388266	-0.863866710233053	-0.321569883486992	-0.687878849708071	-0.422498234086647	-0.930121075844865
S00IK-0013	-0.721687031676202	5.42100060273256	-1.22243401157399	-1.37864878373886	-1.54044671700606	0.256463662039806	1.39107961448771	0.0319948276597553	3.29261331864332	1.43241538400964	-1.6465414582195	-1.16965177401421	-0.102139777856281	2.79916435312478	-0.729214619230005	-0.436580448038444	2.21915737388266	-0.863866710233053	-0.321569883486992	-0.687878849708071	-0.422498234086647	-0.930121075844865
S00IK-0021	-0.721687031676202	7.04017920883612	-1.22243401157399	-1.37864878373886	-1.54044671700606	-0.743536337960194	1.39107961448771	1.03199482765976	3.29261331864332	1.43241538400964	-1.6465414582195	-1.16965177401421	-0.102139777856281	2.79916435312478	-0.729214619230005	-0.436580448038444	2.21915737388266	-0.863866710233053	-0.321569883486992	-0.687878849708071	3.16949835140969	-0.930121075844865
S00IK-0007	1.09799251867356	6.27234976643113	-1.22243401157399	-0.375938669658853	-1.54044671700606	-0.743536337960194	1.39107961448771	0.0319948276597553	3.29261331864332	1.43241538400964	-1.6465414582195	-1.16965177401421	-0.102139777856281	2.79916435312478	-0.729214619230005	-0.436580448038444	2.21915737388266	-0.863866710233053	-0.321569883486992	-0.687878849708071	-0.422498234086647	-0.930121075844865
