feature	aminoglycoside.antibiotic	tetracycline.antibiotic	phenicol.antibiotic	lincosamide.antibiotic.macrolide.antibiotic.streptogramin.A.antibiotic.streptogramin.B.antibiotic.streptogramin.antibiotic	glycopeptide.antibiotic	peptide.antibiotic	fluoroquinolone.antibiotic	disinfecting.agents.and.antiseptics	fluoroquinolone.antibiotic.macrolide.antibiotic.penam	phosphonic.acid.antibiotic	N.A	lincosamide.antibiotic.pleuromutilin.antibiotic.streptogramin.A.antibiotic.streptogramin.B.antibiotic.streptogramin.antibiotic	diaminopyrimidine.antibiotic.fluoroquinolone.antibiotic.glycylcycline.nitrofuran.antibiotic.tetracycline.antibiotic	carbapenem.cephalosporin.cephamycin.monobactam.penam.penem	cephalosporin.penam.penem	carbapenem.cephalosporin.cephamycin.disinfecting.agents.and.antiseptics.fluoroquinolone.antibiotic.glycylcycline.monobactam.penam.penem.phenicol.antibiotic.rifamycin.antibiotic.tetracycline.antibiotic	aminocoumarin.antibiotic.carbapenem.peptide.antibiotic.rifamycin.antibiotic	carbapenem.cephalosporin.cephamycin.penam	penam.penem	aminoglycoside.antibiotic.cephalosporin.disinfecting.agents.and.antiseptics.macrolide.antibiotic.peptide.antibiotic.rifamycin.antibiotic.tetracycline.antibiotic	fluoroquinolone.antibiotic.macrolide.antibiotic.rifamycin.antibiotic	aminoglycoside.antibiotic.carbapenem.cephalosporin.fluoroquinolone.antibiotic.macrolide.antibiotic.penam.penem.peptide.antibiotic
S00IK-0032	1.25673378067426	31.4020232989256	0	1.50808053680911	8.8930166341268	60.3232214723644	5.24549751933603	2.7419646123802	55.6829736667978	17.6215932290195	1.4594327775572	2.85210695410372	62.1591456041319	13.9207434166995	1.20646442944729	3.01616107361822	27.8414868333989	2.57744673563739	3.82484194118252	3.61939328834186	3.84919603680801	10.0538702453941
S00IK-0036	0	322.711817054006	0	8.9169589093795	0	10.6154272730708	0	8.84618939422569	19.5977118887461	0	1.02729941352298	1.05276964691612	29.1693479851337	0	10.190810182148	2.12308545461417	9.79885594437306	0	0	9.46289516913742	5.41892287463425	1.69846836369133
S00IK-0001	7.35950358087685	100.783994333779	0	0.956735465513992	10.9876247454184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S00IK-0035	0	64.8038552436326	0	1.23637850887312	5.62904036560119	10.3031542406093	14.3348232912825	0	95.1060391440859	17.5621947283113	0	0	88.5175338236695	38.0424156576343	4.94551403549247	4.12126169624373	95.1060391440859	1.64850467849749	5.30768551788965	9.89102807098494	0	20.6063084812186
S00IK-0009	0	55.0653525915668	0	0	17.2372204906791	13.1203573943369	0	0	0	0	0	0	2.28180128597164	0	0	0	0	0	0	0	0	1.04962859154695
S00IK-0018	0	1.25734009055057	0	0	86.4546918715772	24.3730540629802	6.88803701779875	0	48.7461081259603	0	0.638809884715207	0	47.5274554228113	0	0	11.1484154695483	0	8.10127081070648	0	4.2246627042499	2.11233135212495	0
S00IK-0002	3.07663056035595	51.6108737155976	0	0.769157640088988	2.69879873715435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S00IK-0010	0	51.2556594207913	4.09785094354042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S00IK-0003	0	41.0537300078134	0	0	0	0	0	3.43833584655054	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S00IK-0037	0	103.191646799233	0	3.63184693944258	0	48.8902472617271	30.2653911620215	10.0884637206738	74.4994243988221	24.1245871581331	2.92890882213112	17.02637730931	117.903436874658	55.8745682991166	4.84246258592345	17.486670449168	9.31242804985277	8.20528382614806	3.51567675114392	27.6712147767054	12.8363690769717	18.4282603964309
S00IK-0024	0	4.71118336306168	0	0	0	0	0	2.58856228739653	0	0	4.13334945890736	9.57887334921387	0	0	0	0	0	0	0	0	4.98976197113388	0
S00IK-0017	0	8.43671044212404	0	23.3487304911012	0	0	0	0	0	0	0	0	0	0	0	1.47776775260134	0	0	0	0	0	0
S00IK-0004	1.28434357847014	67.339121775788	0	1.849454752997	16.4292127722627	1.23296983533133	0	0	0	0	0	0	18.4945475299699	0	0	0	0	0	0	0	0	0
S00IK-0038	3.72459523426866	55.9244396273114	0	7.44919046853732	3.38259607347327	0	0	2.58652446824213	28.6507325712974	5.39796410763574	0	0	24.020940278979	14.3253662856487	4.96612697902488	0	14.3253662856487	0	0	1.24153174475622	0	2.48306348951244
S00IK-0039	1.21277588177248	174.428042457691	0	7.85878771388564	0.687557980217466	21.8299658719046	17.7170737511109	10.5842258772871	94.0367760635888	7.93816940796529	2.11257734244238	17.8177065781186	127.562931007999	53.735300607765	6.98558907900946	0	20.1507377279119	2.32852969300315	2.42555176354495	13.4722075095182	22.3427968161969	4.8511035270899
S00IK-0011	0	46.1872023311338	0	0	0	0	0	0	0	0	0	0	17.3314550657763	0	0	0	0	0	0	0	0	0
